flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 384, 7168](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 7168, 256](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 384, 7168](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 56, 7168, 256](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 7168, 256](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 384, 7168](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 512, 7168](batch, M, N, K), [count]: 237
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 384, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 1536, 1536](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 384, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 384, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 384, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 512, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 7168, 256](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 1536, 1536](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 1536, 1536](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 512, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 512, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 7168, 256](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 384, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 1536, 1536](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 512, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 64, 384, 7168](batch, M, N, K), [count]: 236
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 512, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 512, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 7168, 256](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 384, 7168](batch, M, N, K), [count]: 235
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 512, 7168](batch, M, N, K), [count]: 235
